ticket,opening_time_utc,closing_time_utc,type,lots,original_position_size,symbol,opening_price,closing_price,stop_loss,take_profit,commission_usd,swap_usd,profit_usd,equity_usd,margin_level,close_reason
1836606350,2024-12-19T17:03:30.592000,2024-12-20T06:09:32.700000,buy,0.04,0.04,EURUSDm,1.03614,1.03521,,,0,0,-3.72,-0.02,,so
1836935364,2024-12-20T01:49:32.141000,2024-12-20T06:09:32.698000,buy,0.04,0.04,EURUSDm,1.03657,1.03521,,,0,0,-5.44,-0.02,,so
1836489740,2024-12-19T15:44:17.354000,2024-12-20T02:10:00.627000,buy,0.02,0.02,GBPUSDm,1.25602,1.2483,1.2483,1.27243,0,0,-15.44,,,sl
1836484012,2024-12-19T15:41:29.474000,2024-12-19T17:58:38.145000,sell,0.03,0.03,USDJPYm,157.461,157.746,157.97,156.436,0,0,-5.42,,,user
1835762424,2024-12-19T10:07:07.126000,2024-12-19T15:19:31.536000,buy,0.45,0.45,AUS200m,8161.3,8132.41,8123.1,8295.71,0,0,-8.14,-0.05,,so
1836280155,2024-12-19T14:03:24.582000,2024-12-19T15:19:31.535000,sell,0.03,0.03,USDJPYm,156.942,157.419,,,0,0,-9.09,-0.05,,so
1836270784,2024-12-19T13:59:25.852000,2024-12-19T15:19:31.534000,sell,0.03,0.03,USDJPYm,156.891,157.419,,,0,0,-10.06,-0.05,,so
1836187739,2024-12-19T13:29:49.997000,2024-12-19T14:07:33.921000,buy,0.01,0.01,XAUUSDm,2603.088,2598.044,2592.874,,0,0,-5.05,,,user
1835976532,2024-12-19T11:10:58.440000,2024-12-19T13:23:34.112000,buy,0.45,0.45,AUS200m,8150.74,8158.860000000001,8123.75,8187.23,0,0,2.28,,,user
1831589489,2024-12-16T15:11:34.749000,2024-12-16T16:37:47.044000,sell,0.01,0.01,BTCUSDm,105857.47,106979.71,,0.11,0,0,-11.23,-0.03,,so
1831537587,2024-12-16T14:50:07.811000,2024-12-16T15:27:58.726000,sell,0.06,0.06,USDCHFm,0.89445,0.89443,0.8952,0.89443,0,0,0.13,,,tp
1831541619,2024-12-16T14:51:30.365000,2024-12-16T15:21:26.252000,buy,0.01,0.01,XAUUSDm,2656.488,2651.488,2651.488,2656.598,0,0,-5,,,sl
1831516678,2024-12-16T14:44:03.748000,2024-12-16T15:10:26.271000,sell,0.03,0.03,USDJPYm,154.17,154.427,154.427,,0,0,-4.99,,,sl
1831264805,2024-12-16T12:07:41.279000,2024-12-16T12:59:44.422000,sell,0.07,0.07,USDCADm,1.42433,1.42535,1.42535,1.42209,0,0,-5.01,,,sl
1829234224,2024-12-13T14:50:06.362000,2024-12-16T00:13:19.012000,buy,0.45,0.45,AUS200m,8293.39,8285.07,8228.74,8293.77,0,0,-2.38,,,user
1829634476,2024-12-13T16:10:26.407000,2024-12-16T00:07:24.982000,sell,0.03,0.03,USDJPYm,153.633,153.37,154.132,,0,0,5.14,,,user
1828474293,2024-12-13T02:25:18.626000,2024-12-13T10:05:58.404000,buy,0.02,0.02,EURUSDm,1.04653,1.0488700000000002,1.04411,1.0519,0,0,4.68,,,user
1828346485,2024-12-13T01:02:04.658000,2024-12-13T10:00:30.309000,sell,0.07,0.07,USDCADm,1.42231,1.42229,,1.42229,0,0,0.1,,,tp
1828475123,2024-12-13T02:26:36.985000,2024-12-13T07:03:09.220000,sell,0.06,0.06,USDCHFm,0.89252,0.89315,0.89315,0.89178,0,0,-4.23,,,sl
1827954019,2024-12-12T15:25:14.537000,2024-12-12T19:26:00.002000,sell,0.07,0.07,USDCADm,1.41891,1.4209399999999999,1.4209399999999999,1.41668,0,0,-10,,,sl
1827810235,2024-12-12T14:34:44.566000,2024-12-12T14:49:57.465000,sell,0.07,0.07,USDCADm,1.41933,1.4169800000000001,1.42042,1.41296,0,0,11.61,,,user
