ticket,opening_time_utc,closing_time_utc,type,lots,original_position_size,symbol,opening_price,closing_price,stop_loss,take_profit,commission_usd,swap_usd,profit_usd,equity_usd,margin_level,close_reason
1343873674,2024-12-13T17:44:59.263000,2024-12-13T20:58:14.243000,buy,0.01,0.01,XAUUSDm,2657.582,2647.49,,,0,0,-10.09,-0.09,,so
1343660902,2024-12-13T14:19:45.151000,2024-12-13T15:24:01.631000,buy,0.02,0.02,XAUUSDm,2660.651,2655.553,,,0,0,-10.19,-0.11,,so
1343608917,2024-12-13T13:44:23.925000,2024-12-13T13:45:08.200000,buy,0.02,0.02,XAUUSDm,2663.767,2663.803,,,0,0,0.08,,,user
1343325503,2024-12-13T10:05:01.723000,2024-12-13T12:01:04.337000,buy,0.01,0.01,XAUUSDm,2668.2,2663.134,,,0,0,-5.07,-0.07,,so
1343333338,2024-12-13T09:30:46.317000,2024-12-13T09:54:30.084000,buy,0.01,0.01,XAUUSDm,2673.031,2668.031,2668.031,,0,0,-5,,,sl
1343215891,2024-12-13T08:02:08.517000,2024-12-13T09:03:38.128000,buy,0.02,0.02,XAUUSDm,2682.736,2671.781,,,0,0,-21.91,-0.04,,so
1343024643,2024-12-13T04:16:05.681000,2024-12-13T07:30:50.567000,buy,0.01,0.01,XAUUSDm,2686.905,2682,2682,,0,0,-4.91,,,sl
1342607092,2024-12-12T15:48:57.997000,2024-12-13T07:30:50.562000,buy,0.01,0.01,XAUUSDm,2678.577,2682,2682,,0,0,3.42,,,sl
1342867795,2024-12-13T00:13:42.166000,2024-12-13T05:11:37.631000,buy,0.01,0.01,USOILm,69.595,69.714,69.395,,0,0,1.19,,,user
1340872036,2024-12-11T10:06:02.929000,2024-12-12T14:05:15.726000,buy,0.01,0.01,USOILm,69.08,69.6,69.6,,0,0,5.2,,,sl
1341761274,2024-12-12T03:52:42.285000,2024-12-12T14:05:15.726000,buy,0.01,0.01,USOILm,69.918,69.6,69.6,,0,0,-3.18,,,sl
1340523333,2024-12-11T08:37:30.973000,2024-12-12T14:05:15.722000,buy,0.01,0.01,USOILm,68.488,69.6,69.6,,0,0,11.12,,,sl
